epoch,acc,loss,precision_macro,recall_macro,val_acc,val_loss,val_precision_macro,val_recall_macro
0,0.889512777,0.286224991,0.955623567,0.903109193,0.945910275,0.344206065,0.994011998,0.959537566
1,0.936416209,0.180364728,0.974526942,0.968185127,0.944591045,0.170645073,0.982857168,0.994219661
2,0.949628413,0.145409435,0.984793603,0.98336947,0.930079162,0.882832527,1,0.988439322
3,0.955573916,0.123163067,0.983417451,0.986261725,0.969657004,0.081619181,1,0.988439322
4,0.95606935,0.123177849,0.985549152,0.986261725,0.976253271,0.114930816,1,0.994219661
5,0.959867895,0.103759907,0.992046297,0.992046297,0.973614752,0.076165043,1,1
6,0.961684585,0.104611963,0.993464053,0.989154041,0.970976233,0.094536036,0.994252861,1
7,0.967795193,0.090181366,0.992052019,0.992769361,0.961741447,0.092922173,1,0.994219661
8,0.969611883,0.081882492,0.993506491,0.995661616,0.972295523,0.079755977,1,0.994219661
9,0.971263409,0.088629425,0.992774546,0.993492424,0.948548794,0.134242088,0.994252861,1
10,0.973410428,0.074014932,0.993501782,0.994938552,0.970976233,0.197028503,1,0.994219661
11,0.970767975,0.078370549,0.994219661,0.994938552,0.973614752,0.119341604,1,0.994219661
12,0.970107377,0.073924579,0.992046297,0.992046297,0.970976233,0.409081042,0.994219661,0.994219661
13,0.973080099,0.071137011,0.993492424,0.993492424,0.973614752,0.086184256,0.988571405,1
14,0.97060281,0.081257448,0.98780489,0.995661616,0.976253271,0.057749528,1,1
15,0.975061953,0.068031348,0.994942188,0.995661616,0.969657004,0.625928104,1,0.988439322
16,0.973410428,0.066649847,0.997105658,0.99638468,0.97889185,0.053177379,1,0.994219661
17,0.976217985,0.065564834,0.997103572,0.995661616,0.965699196,0.080299385,1,1
18,0.977539241,0.060493205,0.99494952,0.997107744,0.976253271,0.059432898,0.994252861,1
19,0.978530169,0.061488718,0.994219661,0.994938552,0.980211079,0.06066094,1,1
20,0.978365004,0.057743873,0.992790222,0.995661616,0.97889185,0.054955147,1,1
21,0.981007457,0.052964181,0.997103572,0.995661616,0.968337715,0.056652498,1,0.994219661
22,0.979025602,0.053638265,0.996389866,0.997830808,0.984168887,0.109052867,1,0.994219661
23,0.979851365,0.051768433,0.994953156,0.997830808,0.970976233,0.090865552,1,0.988439322
24,0.980346799,0.055107459,0.995664716,0.99638468,0.968337715,0.104650751,1,1
25,0.980511963,0.050860938,0.995658457,0.994938552,0.97889185,0.060324918,0.994252861,1
26,0.981172562,0.052818988,0.997832358,0.998553872,0.968337715,0.075337164,1,1
27,0.981337726,0.047523186,0.997830808,0.997830808,0.980211079,0.057897471,1,0.994219661
28,0.98183322,0.050083261,0.998554885,0.999276936,0.97889185,0.056248978,1,1
29,0.985136271,0.039617345,0.994232178,0.997107744,0.970976233,0.075113095,0.994252861,1
