epoch,acc,loss,precision_macro,recall_macro,val_acc,val_loss,val_precision_macro,val_recall_macro
0,0.890008271,0.299515992,0.972222209,0.860448301,0.955145121,0.124393597,0.977272749,0.994219661
1,0.946160197,0.148214176,0.976911962,0.979031086,0.964379966,0.096613884,0.994186044,0.988439322
2,0.955904186,0.124000236,0.988430977,0.988430977,0.968337715,0.097209595,1,1
3,0.958216369,0.111288682,0.992769361,0.992769361,0.964379966,0.120399624,1,1
4,0.964657307,0.102311537,0.989920795,0.994215488,0.951187313,0.16251111,0.988571405,1
5,0.967299759,0.086125374,0.994211316,0.993492424,0.97757256,0.066554092,0.994252861,1
6,0.967464924,0.085453026,0.99419868,0.991323233,0.974934042,0.074815631,0.994252861,1
7,0.968125522,0.080743462,0.997826099,0.995661616,0.97889185,0.065193839,1,1
8,0.973080099,0.067796215,0.995661616,0.995661616,0.976253271,0.081024811,0.994252861,1
9,0.973245263,0.07186906,0.993515849,0.997107744,0.969657004,0.083321109,1,1
10,0.978695273,0.060561355,0.992779791,0.994215488,0.967018485,0.088113137,1,1
11,0.975557387,0.067006886,0.996379435,0.994938552,0.97757256,0.073224701,1,1
12,0.98001653,0.056539703,0.99710983,0.997830808,0.97757256,0.06199348,1,1
13,0.978365004,0.057077225,0.997107744,0.997107744,0.969657004,0.08361648,1,1
14,0.979521036,0.054781079,0.99710983,0.997830808,0.974934042,0.071565449,1,1
15,0.981502891,0.049847931,0.998553872,0.998553872,0.970976233,0.088218085,1,1
16,0.984145343,0.044786621,0.997103572,0.995661616,0.969657004,0.085962817,0.994252861,1
17,0.982328653,0.04991113,0.997116089,1,0.974934042,0.065609112,0.994252861,1
18,0.982493818,0.050358415,0.995661616,0.995661616,0.976253271,0.084854662,0.994252861,1
19,0.984640777,0.041635435,0.996382058,0.995661616,0.984168887,0.051900223,0.994252861,1
20,0.98364985,0.046568498,0.997103572,0.995661616,0.976253271,0.052261021,0.988571405,1
21,0.983815014,0.038926691,0.997833908,0.999276936,0.972295523,0.067695759,1,1
22,0.984971106,0.044779167,0.997826099,0.995661616,0.970976233,0.088865489,1,1
23,0.985301375,0.037192065,0.995670974,0.997830808,0.973614752,0.069673896,1,1
24,0.98695296,0.038220871,0.997830808,0.997830808,0.976253271,0.055928335,0.994252861,1
25,0.98728323,0.034087207,1,1,0.97889185,0.07121554,1,1
26,0.988604486,0.032667655,0.998553872,0.998553872,0.984168887,0.045768607,1,1
27,0.983319581,0.038619667,0.9992764,0.998553872,0.981530368,0.064864963,1,1
28,0.987613559,0.032787994,0.998555958,1,0.986807406,0.068227388,1,1
29,0.987118065,0.033312853,0.997105658,0.99638468,0.967018485,0.099445626,0.994252861,1
